biosample_acc	cntnm	pb	culprit	geo_loc_name	cntry
SAMN25649324	Sierra Leone_2022.1	n	n	Sierra Leone	SierraLeone
SAMN25649322	Vietnam_2022.1	n	n	Vietnam	Vietnam
SAMN25686242	Sierra Leone_2022.2	n	n	Sierra Leone	SierraLeone
SAMN25828045	Turkey_2022.1	n	n	Turkey	Turkey
SAMN25828047	Turkey_2022.2	n	n	Turkey	Turkey
SAMN25828054	Turkey_2022.3	n	n	Turkey	Turkey
SAMN25828050	Turkey_2022.4	n	n	Turkey	Turkey
SAMN25828048	Turkey_2022.5	n	n	Turkey	Turkey
SAMN25828812	Turkey_2022.6	n	n	Turkey	Turkey
SAMN26084668	Indonesia_2022.1	n	n	Indonesia	Indonesia
SAMN26084684	Indonesia_2022.2	n	n	Indonesia	Indonesia
SAMN26084686	Indonesia_2022.3	n	n	Indonesia	Indonesia
SAMN26084683	Indonesia_2022.4	n	n	Indonesia	Indonesia
SAMN26084685	Indonesia_2022.5	n	n	Indonesia	Indonesia
SAMN26084687	Indonesia_2022.6	n	n	Indonesia	Indonesia
SAMN26214580	India_2022.1	n	n	India	India
SAMN26214638	India_2022.2	n	n	India	India
SAMN26218037	India_2022.3	n	n	India	India
SAMN26364743	India_2022.4	n	n	India	India
SAMN26364744	India_2022.5	n	n	India	India
SAMN26364769	Vietnam_2022.2	n	n	Vietnam	Vietnam
SAMN26364771	Ghana_2022.1	n	n	Ghana	Ghana
SAMN26512294	Turkey_2022.7	n	n	Turkey	Turkey
SAMN26512293	Turkey_2022.8	n	n	Turkey	Turkey
SAMN26512289	Lebanon_2022.1	n	n	Lebanon	Lebanon
SAMN26512288	Lebanon_2022.2	n	n	Lebanon	Lebanon
SAMN26512292	Turkey_2022.9	n	n	Turkey	Turkey
SAMN26512283	Lebanon_2022.3	n	n	Lebanon	Lebanon
SAMN26733797	Ecuador_2022.1	n	n	Ecuador	Ecuador
SAMN26733794	Canada_2022.1	n	n	Canada	Canada
