#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT001237822.1|SAMN25649324|GCA_021980575.1|Salmonella enterica||FDA1180037-C001-009|Pathogen: environmental/food/other	1180037-C001-009	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR17883168	GCA_021980575.1	Contig	62105	4714731	145	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25649324	"CFSAN119842"",""FDA1180037-C001-009"",""SRS11877292"	FDA	2022-01-12	environmental/other	31528838	Sierra Leone	NULL	NULL	grounded tola (beilhmielda manni)	NULL	NULL	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-04	FDA1180037-C001-009	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001237822.1	2022-02-04	28901	ABEYST	ABEYST000000000.1	NULL	NULL	"serotype=Putten"",""antigen_formula=13:d:l,w"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001237824.1|SAMN25649322|GCA_021980175.1|Salmonella enterica||FDA1180038-C001-003|Pathogen: environmental/food/other	1180038-C001-003	NULL	fish	PAIRED	NULL	NULL	ILLUMINA	SRR17883170	GCA_021980175.1	Contig	155870	4713672	68	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25649322	"CFSAN119811"",""FDA1180038-C001-003"",""SRS11877295"	FDA	2022-01-13	environmental/other	31528408	Viet Nam	NULL	NULL	frozen featherback meat	NULL	clown featherback:FOODON_0002899| meat (frozen):FOODON_03304504	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-04	FDA1180038-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001237824.1	2022-02-04	28901	ABEYSR	ABEYSR000000000.1	NULL	NULL	"serotype=Chailey"",""antigen_formula=8:z4,z23:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001240743.1|SAMN25686242|GCA_022019295.1|Salmonella enterica||FDA1180037-C002-009|Pathogen: environmental/food/other	1180037-C002-009	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR17893259	GCA_022019295.1	Contig	36089	4676510	238	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25686242	"CFSAN119843"",""FDA1180037-C002-009"",""SRS11886410"	FDA	2022-01-12	environmental/other	31585418	Sierra Leone	NULL	NULL	grounded tola (beilhmielda manni)	NULL	NULL	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-05	FDA1180037-C002-009	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001240743.1	2022-02-05	28901	ABEZAV	ABEZAV000000000.1	NULL	NULL	"serotype=Putten"",""antigen_formula=13:d:l,w"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245645.1|SAMN25828045|GCA_022182005.1|Salmonella enterica||FDA1180266-C001-003|Pathogen: environmental/food/other	1180266-C001-003	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17968845	GCA_022182005.1	Contig	510801	4936757	28	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828045	"CFSAN120149"",""FDA1180266-C001-003"",""FNE1180266-C001-003"",""SRS11952299"	FDA	2022-01-19	environmental/other	31752128	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245645.1	2022-02-10	28901	ABFBHN	ABFBHN000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245648.1|SAMN25828047|GCA_022178855.1|Salmonella enterica||FDA1180266-C001-005|Pathogen: environmental/food/other	1180266-C001-005	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17968848	GCA_022178855.1	Contig	554267	4873434	35	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828047	"CFSAN120150"",""FDA1180266-C001-005"",""FNE1180266-C001-005"",""SRS11952302"	FDA	2022-01-19	environmental/other	31748968	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C001-005	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245648.1	2022-02-10	28901	ABFBGX	ABFBGX000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245650.1|SAMN25828054|GCA_022177575.1|Salmonella enterica||FDA1180266-C002-003|Pathogen: environmental/food/other	1180266-C002-003	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17968850	GCA_022177575.1	Contig	508903	4983129	36	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828054	"CFSAN120152"",""FDA1180266-C002-003"",""FNE1180266-C002-003"",""SRS11952306"	FDA	2022-01-19	environmental/other	31747688	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C002-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245650.1	2022-02-10	28901	ABFBGB	ABFBGB000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245651.1|SAMN25828050|GCA_022177795.1|Salmonella enterica||FDA1180266-C001-001|Pathogen: environmental/food/other	1180266-C001-001	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17968851	GCA_022177795.1	Contig	517936	4843341	29	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828050	"CFSAN120148"",""FDA1180266-C001-001"",""FNE1180266-C001-001"",""SRS11952307"	FDA	2022-01-19	environmental/other	31747908	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245651.1	2022-02-10	28901	ABFBGJ	ABFBGJ000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245652.1|SAMN25828048|GCA_022177555.1|Salmonella enterica||FDA1180266-C002-002|Pathogen: environmental/food/other	1180266-C002-002	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17968852	GCA_022177555.1	Contig	508884	4981508	39	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828048	"CFSAN120151"",""FDA1180266-C002-002"",""FNE1180266-C002-002"",""SRS11952308"	FDA	2022-01-19	environmental/other	31747668	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C002-002	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245652.1	2022-02-10	28901	ABFBGA	ABFBGA000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001245689.1|SAMN25828812|GCA_022177675.1|Salmonella enterica||FDA1180266-C002-004|Pathogen: environmental/food/other	1180266-C002-004	NULL	dairy| grains	PAIRED	NULL	NULL	ILLUMINA	SRR17969812	GCA_022177675.1	Contig	565090	5011794	36	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN25828812	"CFSAN120153"",""FDA1180266-C002-004"",""FNE1180266-C002-004"",""SRS11953261"	FDA	2022-01-19	environmental/other	31747788	Turkey	NULL	NULL	tahini cream with halvah/sesame paste	NULL	cream dessert:FOODON_03316266| sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-10	FDA1180266-C002-004	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001245689.1	2022-02-10	28901	ABFBGH	ABFBGH000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001252407.1|SAMN26084668|GCA_022375375.1|Salmonella enterica||FDA1180482-C002-017|Pathogen: environmental/food/other	1180482-C002-017	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072547	GCA_022375375.1	Contig	181906	4985838	66	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084668	"CFSAN120242"",""FDA1180482-C002-017"",""SRS12045639"	FDA	2022-01-24	environmental/other	31989828	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180482-C002-017	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252407.1	2022-02-22	28901	ABFELL	ABFELL000000000.1	NULL	NULL	"serotype=Weltevreden"",""antigen_formula=3,10:r:z6"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
