acc	R1	R2
SRR17883168	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/068/SRR17883168/SRR17883168_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/068/SRR17883168/SRR17883168_2.fastq.gz
SRR17883170	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/070/SRR17883170/SRR17883170_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/070/SRR17883170/SRR17883170_2.fastq.gz
SRR17893259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/059/SRR17893259/SRR17893259_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/059/SRR17893259/SRR17893259_2.fastq.gz
SRR17968845	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/045/SRR17968845/SRR17968845_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/045/SRR17968845/SRR17968845_2.fastq.gz
SRR17968848	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/048/SRR17968848/SRR17968848_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/048/SRR17968848/SRR17968848_2.fastq.gz
SRR17968850	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/050/SRR17968850/SRR17968850_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/050/SRR17968850/SRR17968850_2.fastq.gz
SRR17968851	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/051/SRR17968851/SRR17968851_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/051/SRR17968851/SRR17968851_2.fastq.gz
SRR17968852	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/052/SRR17968852/SRR17968852_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/052/SRR17968852/SRR17968852_2.fastq.gz
SRR17969812	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/012/SRR17969812/SRR17969812_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/012/SRR17969812/SRR17969812_2.fastq.gz
SRR18072547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/047/SRR18072547/SRR18072547_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/047/SRR18072547/SRR18072547_2.fastq.gz
SRR18072548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/048/SRR18072548/SRR18072548_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/048/SRR18072548/SRR18072548_2.fastq.gz
SRR18072549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/049/SRR18072549/SRR18072549_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/049/SRR18072549/SRR18072549_2.fastq.gz
SRR18072550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/050/SRR18072550/SRR18072550_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/050/SRR18072550/SRR18072550_2.fastq.gz
SRR18072551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/051/SRR18072551/SRR18072551_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR180/051/SRR18072551/SRR18072551_2.fastq.gz
